Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4
922,1031,1438,1346,1232,965,1185,1559,1296,1442,1397,1509,1708,1620,1802,1262,1633,1535,1448,1358,802,1147,1571,1405,1304
1900,3103,3404,3263,3541,3773,3931,6559,6386,4243,1353,1516,2282,1918,1672,6935,8520,8127,7627,7184,2586,2740,4621,4084,2927
2623,2798,3145,2980,3274,3618,4164,4645,4482,4332,1111,1292,1620,1521,1411,4594,4966,4877,4796,4701,1073,1178,1467,1379,1281
1156,1560,1489,1363,1247,941,1054,1147,1234,1307,1386,1476,1704,1623,1547,1177,1419,1348,1286,1228,693,955,1261,1160,1061
596,1137,1053,975,896,1085,1283,1360,1421,1481,4799,5230,7507,7380,5633,1000,1260,1201,1073,1140,1750,1863,2046,1955,2142
557,1182,1105,1016,922,1155,1270,1356,1439,1533,1639,1804,1989,1907,2085,1194,1601,1537,1317,1459,3664,3794,4061,3976,3886
870,1191,1075,1022,952,590,696,782,864,938,866,971,1147,1067,1233,944,1175,1110,1042,992,981,1085,1224,1157,1300
6300,6663,7822,7090,7489,2400,3521,4390,4135,3859,997,1087,1389,1325,1175,7396,8397,8202,7987,7623,821,905,1148,1061,988
1425,2957,2532,2103,1719,3055,3281,3550,3766,3961,1082,1183,1291,1450,1369,3564,4502,4315,4117,3912,766,961,1058,1288,1157
7294,7717,8297,8094,7915,6052,7070,7286,7449,7584,817,893,1050,975,1127,7626,8255,8126,7992,7840,929,1012,1097,1269,1187
2381,2907,3227,3079,3374,2566,2985,3221,3428,3614,4886,5106,5708,5521,5330,3813,4429,4289,4137,3982,4901,6170,8239,6917,6560
8979,9699,9539,9383,9221,7471,7779,8652,8341,8068,3053,3300,3695,3490,3901,11296,12549,12248,11942,11615,2086,2335,3304,2576,2876
1707,2266,2143,1997,1867,1066,1210,1348,1494,1611,5299,5507,6620,6433,6219,1533,1806,2029,1674,1927,2556,4301,4580,4861,5121
1024,1595,1459,1339,1201,1225,1437,1601,1687,1771,3167,3372,4016,3860,3670,1597,1849,1934,1772,1696,1931,2160,2904,2717,2490
823,1880,1410,1201,1083,1076,1224,1414,1719,2013,9942,10233,11070,10799,10514,2504,2829,2742,2665,2585,4985,5602,6554,6856,7146
6456,6829,6737,6643,6557,6042,6298,6908,6766,6544,955,1082,1550,1209,1351,7639,8047,7960,7872,7759,1351,1490,2077,1947,1801
3024,3384,3302,3218,3121,1417,1542,1987,2436,1668,1526,1736,1964,1897,1826,3078,3403,3328,3251,3167,1282,1415,1738,1635,1519
668,983,899,825,750,745,820,895,975,1061,1459,2080,2832,2670,2494,647,928,853,787,720,1154,1239,1358,1513,1442
410,667,718,624,576,525,750,830,907,984,5894,6744,7002,6917,6840,603,980,1067,752,897,3812,4401,5453,5716,5951
2425,2750,2676,2598,2516,2620,3212,3313,3399,3472,3042,3200,3366,3690,3539,2329,2630,2552,2488,2412,1339,1486,1730,1665,1590
2985,3332,3248,3165,3084,2164,2603,2967,2850,2729,355,659,850,793,728,3038,3337,3263,3194,3121,512,564,802,873,733
535,768,671,624,722,631,714,927,846,1008,321,631,842,768,702,580,922,837,745,666,725,826,1126,1015,922
432,726,645,572,497,710,791,862,944,1023,2436,2642,2808,2971,2904,610,1005,835,752,924,967,1093,1210,1326,1491
332,890,787,714,639,694,779,861,953,1037,2726,3005,3450,3656,3556,670,1005,918,839,758,1468,1597,1717,1927,2042
